
#%Probeset listing for Clariom D Human
#%create_date=2021-05-18 PDT 09:19:03
#%input_query=*
gene_symbol	Clariom D Human
FMO4	TC0100010586.hg.1
FMO5	TC0100015629.hg.1
FMOD	TC0100016988.hg.1
FMR1	TC0X00008668.hg.1
AFF2	TC0X00008674.hg.1
FN1	TC0200015650.hg.1
FNTA	TC0800012300.hg.1
FNTB	TC1400010622.hg.1
FOLH1	TC1100010792.hg.1
FOLR1	TC1100008340.hg.1
FOLR2	TC1100008341.hg.1
FOLR3	TC1100013069.hg.1
FOS	TC1400007706.hg.1
FOSB	TC1900008326.hg.1
FOSL2	TC0200007096.hg.1
FPGS	TC0900008827.hg.1
FPR1	TC1900011271.hg.1
FPR2	TC1900008668.hg.1
FPR3	TC1900008669.hg.1
FXN	TC0900007494.hg.1
FRK	TC0600012952.hg.1
MTOR	TC0100012872.hg.1
FRG1	TC0400009632.hg.1
FRZB	TC0200015136.hg.1
FSHB	TC1100007167.hg.1
CENPI	TC0X00007936.hg.1
FSHR	TC0200012550.hg.1
NR5A2	TC0100011129.hg.1
FTH1	TC1100011058.hg.1
FTH1P3	TC0200012078.hg.1
FTH1P15	TC0600008344.hg.1
FTL	TC1900008507.hg.1
ADAM2	TC0800010204.hg.1
NR5A1	TC0900011499.hg.1
FUCA1	TC0100013305.hg.1
FUCA2	TC0600013427.hg.1
GAST	TC1700007852.hg.1
FUS	TC1600007521.hg.1
FUT1	TC1900011096.hg.1
FUT2	TC1900008485.hg.1
FUT3	TC1900009405.hg.1
FUT4	TC1100013081.hg.1
FUT5	TC1900011850.hg.1
FUT6	TC1900009404.hg.1
FUT7	TC0900012290.hg.1
FUT8	TC1400007466.hg.1
KDSR	TC1800008903.hg.1
ACKR1	TC0100018307.hg.1
FYB	TC0500010553.hg.1
FYN	TC0600012875.hg.1
FZD2	TC1700008005.hg.1
IFI6	TC0100013445.hg.1
G6PC	TC1700007922.hg.1
G6PD	TC0X00011211.hg.1
SLC37A4	TC1100012509.hg.1
GAGE1	TC0X00011290.hg.1
XRCC6	TC2200007486.hg.1
GAA	TC1700009113.hg.1
GAB1	TC0400008879.hg.1
GABBR1	TC0600014256.hg.1
GABPA	TC2100006787.hg.1
GABPB1	TC1500009386.hg.1
GABRA1	TC0500009303.hg.1
GABRA2	TC0400010598.hg.1
GABRA3	TC0X00011126.hg.1
GABRA4	TC0400010602.hg.1
GABRA5	TC1500006643.hg.1
GABRA6	TC0500009301.hg.1
GABRB1	TC0400007419.hg.1
GABRB2	TC0500012670.hg.1
GABRB3	TC1500008772.hg.1
GABRD	TC0100006548.hg.1
GABRE	TC0X00011121.hg.1
GABRG1	TC0400010596.hg.1
GABRG2	TC0500009304.hg.1
GABRG3	TC1500006645.hg.1
GABRP	TC0500009409.hg.1
GABRR1	TC0600012539.hg.1
GABRR2	TC0600012540.hg.1
GAD1	TC0200009936.hg.1
GAD2	TC1000007068.hg.1
GAGE2C	TC0X00007230.hg.1, TC0X00011289.hg.1
GAGE4	TC0X00007229.hg.1, TC0X00007235.hg.1
GAGE5	TC0X00007229.hg.1
GAGE6	TC0X00007229.hg.1
GAGE7	TC0X00007235.hg.1
GAK	TC0400009708.hg.1
GALC	TC1400009912.hg.1
GALE	TC0100013302.hg.1
B4GALNT1	TC1200012813.hg.1
GALK1	TC1700011768.hg.1
GALK2	TC1500007180.hg.1
GALR1	TC1800009252.hg.1
GALNS	TC1600011235.hg.1
GALNT1	TC1800007080.hg.1
GALNT2	TC0100011920.hg.1
GALNT3	TC0200014809.hg.1
GALT	TC0900012119.hg.1
GAMT	TC1900009155.hg.1
GANC	TC1500010724.hg.1
GAP43	TC0300008412.hg.1
GAPDH	TC1200006629.hg.1
LRRC32	TC1100011694.hg.1
GARS	TC0700007098.hg.1
GART	TC2100008000.hg.1
GAS1	TC0900010637.hg.1
GAS2	TC1100007069.hg.1
GAS6	TC1300009924.hg.1
GAS8	TC1600008910.hg.1
GATA1	TC0X00007204.hg.1
GATA2	TC0300012339.hg.1
GATA3	TC1000006707.hg.1
GATA4	TC0800006752.hg.1
GATA6	TC1800006852.hg.1
GATM	TC1500010864.hg.1, TC1500010865.hg.1
GBA	TC0100018502.hg.1
GBAP1	TC0100018500.hg.1
GBAS	TC0700013363.hg.1
GBE1	TC0300011651.hg.1
GBP1	TC0100014852.hg.1
GBP2	TC0100018451.hg.1
GBP3	TC0100014849.hg.1
GBX1	TC0700013061.hg.1
GBX2	TC0200016159.hg.1
GC	TC0400010983.hg.1
GCDH	TC1900007103.hg.1
GCG	TC0200014770.hg.1
GCGR	TC1700009194.hg.1
GCH1	TC1400009239.hg.1
GCHFR	TC1500006967.hg.1
GCK	TC0700010913.hg.1
GCKR	TC0200007070.hg.1
BLOC1S1	TC1200012640.hg.1
KAT2A	TC1700012415.hg.1
NR6A1	TC0900011501.hg.1
GCNT1	TC0900012141.hg.1
GCNT2	TC0600006918.hg.1
OPN1MW	TC0X00008821.hg.1, TC0X00008823.hg.1
GCSH	TC0100016321.hg.1, TC1600011573.hg.1
GDF1	TC1900010032.hg.1
GDF2	TC1000007544.hg.1
MSTN	TC0200015221.hg.1
GDF9	TC0500012030.hg.1
GDF10	TC1000007543.hg.1
GDI1	TC0X00008832.hg.1
GDI2	TC1000009684.hg.1
GDNF	TC0500010523.hg.1
GEM	TC0800011132.hg.1
GFAP	TC1700012422.hg.1
GFER	TC1600006579.hg.1
GFI1	TC0100014926.hg.1
GFPT1	TC0200012956.hg.1
GFRA1	TC1000011923.hg.1
GFRA2	TC0800009816.hg.1
GFRA3	TC0500012164.hg.1
GGCX	TC0200013278.hg.1
GGT1	TC2200009236.hg.1
GGT3P	TC2200009312.hg.1
GGTA1P	TC0900011407.hg.1
B4GALT1	TC0900009846.hg.1
GGT7	TC2000008946.hg.1
GGT5	TC2200008211.hg.1
GH1	TC1700012450.hg.1
GH2	TC1700012448.hg.1
GHR	TC0500007258.hg.1
GHRH	TC2000009031.hg.1
GHRHR	TC0700013348.hg.1, TC0700013349.hg.1
GHSR	TC0300013143.hg.1
GIF	TC1100010991.hg.1
GIP	TC1700011020.hg.1
GIPR	TC1900008341.hg.1
GJA1	TC0600009310.hg.1
GJA3	TC1300008247.hg.1
GJA4	TC0100007748.hg.1
GJA5	TC0100015636.hg.1
GJA8	TC0100009799.hg.1
GJB1	TC0X00007559.hg.1
GJB2	TC1300008249.hg.1
GJB3	TC0100007747.hg.1
GJB5	TC0100007745.hg.1
GK	TC0X00006891.hg.1
GK2	TC0400011136.hg.1
GK3P	TC0400012331.hg.1
GLA	TC0X00010357.hg.1
GPC3	TC0X00010851.hg.1
GLB1	TC0300010664.hg.1
GCLC	TC0600014300.hg.1
GCLM	TC0100014966.hg.1
GLDC	TC0900009489.hg.1
GLDCP1	TC0400007598.hg.1
GLE1	TC0900012178.hg.1
GLG1	TC1600010855.hg.1
GLI1	TC1200007882.hg.1
GLI2	TC0200009106.hg.1
GLI3	TC0700010857.hg.1
GLI4	TC0800012374.hg.1
GLO1	TC0600011725.hg.1
GLP1R	TC0600007946.hg.1
GLRA1	TC0500012526.hg.1
GLRA2	TC0X00006669.hg.1
GLRB	TC0400009109.hg.1
GLS	TC0200010275.hg.1
GLRX	TC0500011497.hg.1
GLUD1	TC1000011323.hg.1
GLUD2	TC0X00008298.hg.1
GLUD1P3	TC1000008044.hg.1
GLUD1P4	TC1800007465.hg.1
GLUL	TC0100016625.hg.1
GM2A	TC0500009116.hg.1
GMDS	TC0600014215.hg.1
GMFB	TC1400009225.hg.1
GML	TC0800009166.hg.1
GMPR	TC0600007067.hg.1
GNA11	TC1900006616.hg.1
GNA12	TC0700010075.hg.1
GNA15	TC1900006620.hg.1
GNAI1	TC0700008181.hg.1
GNAI2	TC0300007410.hg.1
GNAI3	TC0100018257.hg.1
GNAL	TC1800006706.hg.1
GNAO1	TC1600007944.hg.1
GNAQ	TC0900010485.hg.1
GNAS	TC2000007915.hg.1
GNAT1	TC0300007408.hg.1
GNAT2	TC0100015206.hg.1
GNAZ	TC2200006827.hg.1
GNB1	TC0100012497.hg.1
GNB2	TC0700008560.hg.1
GNB3	TC1200006647.hg.1
GNG3	TC1100007868.hg.1
GNG4	TC0100017834.hg.1
GNG5	TC0100014752.hg.1
GNG7	TC1900009240.hg.1
GNG10	TC0900012160.hg.1
GNG11	TC0700008351.hg.1
GNGT1	TC0700008340.hg.1
GNGT2	TC1700011032.hg.1
GNL1	TC0600011368.hg.1
GNRH1	TC0800009919.hg.1
GNRH2	TC2000006533.hg.1
GNRHR	TC0400010892.hg.1
GNS	TC1200011099.hg.1
GOLGA1	TC0900012275.hg.1, TC0900012276.hg.1
GOLGA2	TC0900011631.hg.1
GOLGA3	TC1200012875.hg.1
GOLGA4	TC0300007044.hg.1
GOLGB1	TC0300012170.hg.1
GOT1	TC1000011585.hg.1
GOT2	TC1600010500.hg.1
SFN	TC0100007486.hg.1
GP1BA	TC1700006653.hg.1
GP1BB	TC2200006614.hg.1
GP2	TC1600009654.hg.1
GP5	TC0300013599.hg.1
GP9	TC0300008755.hg.1
GPC1	TC0200011356.hg.1
GPD1	TC1200007596.hg.1
GPD2	TC0200016548.hg.1
GPI	TC1900011707.hg.1
GPLD1	TC0600011063.hg.1
GPM6A	TC0400012473.hg.1
GPM6B	TC0X00009101.hg.1
GPR1	TC0200015514.hg.1
CCR10	TC1700010735.hg.1
GPR3	TC0100007512.hg.1
GPR4	TC1900011983.hg.1
XCR1	TC0300010937.hg.1
GPR6	TC0600009107.hg.1
NPBWR1	TC0800007626.hg.1
NPBWR2	TC2000009858.hg.1
CXCR3	TC0X00010005.hg.1
PRLHR	TC1000011973.hg.1
GPR12	TC1300008417.hg.1
UTS2R	TC1700009249.hg.1
GPR15	TC0300008114.hg.1
GPR17	TC0200009221.hg.1
GPR18	TC1300009597.hg.1
GPR19	TC1200009972.hg.1
GPR20	TC0800012033.hg.1
GPR21	TC0900008684.hg.1
GPR22	TC0700008753.hg.1
LPAR4	TC0X00007713.hg.1
MCHR1	TC2200007439.hg.1
GPR25	TC0100011152.hg.1
GPR26	TC1000009189.hg.1
GPR27	TC0300007797.hg.1
GPER1	TC0700006488.hg.1
GPR31	TC0600013914.hg.1
GPR32	TC1900008600.hg.1
GPR32P1	TC1900008599.hg.1
GPR33	TC1400008857.hg.1
GPR34	TC0X00007039.hg.1
GPR35	TC0200016611.hg.1
GPR37	TC0700012477.hg.1
MLNR	TC1300007158.hg.1
GPR39	TC0200009376.hg.1
FFAR1	TC1900007851.hg.1
FFAR3	TC1900007852.hg.1
GPR42	TC1900007853.hg.1
FFAR2	TC1900007859.hg.1
GRK4	TC0400006583.hg.1, TC0400006584.hg.1
GRK5	TC1000009067.hg.1
GRK6	TC0500009622.hg.1
MKNK2	TC1900009201.hg.1
GPS1	TC1700009221.hg.1
GPS2	TC1700012347.hg.1
GPT	TC0800009265.hg.1
GPX1	TC0300011059.hg.1
GPX2	TC1400009421.hg.1
GPX3	TC0500009108.hg.1, TC0500009109.hg.1
GPX4	TC1900006510.hg.1
GPX5	TC0600007423.hg.1
GPX7	TC0100008321.hg.1
GRB2	TC1700011749.hg.1
GRB7	TC1700007757.hg.1
GRB10	TC0700011054.hg.1
GRB14	TC0200014790.hg.1
RAPGEF1	TC0900011778.hg.1
GRIA1	TC0500009141.hg.1
GRIA2	TC0400009110.hg.1
GRIA3	TC0X00008316.hg.1
GRIA4	TC1100008948.hg.1
GRID1	TC1000011287.hg.1
GRID2	TC0400008160.hg.1
GRN	TC1700007997.hg.1
GRIK1	TC2100007872.hg.1
GRIK2	TC0600008931.hg.1
GRIK3	TC0100013730.hg.1
GRIK4	TC1100009298.hg.1
GRIK5	TC1900010783.hg.1
GRIN1	TC0900012199.hg.1
GRIN2A	TC1600009349.hg.1
GRIN2B	TC1200009997.hg.1
GRIN2C	TC1700011719.hg.1
GRIN2D	TC1900008470.hg.1
GRINA	TC0800009231.hg.1
NR3C1	TC0500012340.hg.1
ARHGAP35	TC1900008399.hg.1
GRM1	TC0600009740.hg.1
GRM2	TC0300007445.hg.1
GRM3	TC0700008240.hg.1
GRM4	TC0600011579.hg.1
GRM5	TC1100011895.hg.1
GRM6	TC0500013421.hg.1, TC0500013422.hg.1
GRM7	TC0300006513.hg.1
GRM8	TC0700012490.hg.1
CXCL1	TC0400007840.hg.1
CXCL2	TC0400011018.hg.1
CXCL3	TC0400011015.hg.1
GRP	TC1800007448.hg.1
PDIA3	TC1500007072.hg.1
GRPR	TC0X00006686.hg.1
GRSF1	TC0400010965.hg.1
GSC2	TC2200007974.hg.1
GSK3A	TC1900011957.hg.1
GSK3B	TC0300012132.hg.1
GSN	TC0900012166.hg.1, TC0900012167.hg.1
GSPT1	TC1600009422.hg.1
GSR	TC0800010034.hg.1
GSS	TC2000008951.hg.1
GSTA1	TC0600012053.hg.1
GSTA2	TC0600012050.hg.1
GSTA3	TC0600014299.hg.1
GSTA4	TC0600012059.hg.1
GSTM1	TC0100018263.hg.1
GSTM2	TC0100018262.hg.1, TC0100018264.hg.1
GSTM3	TC0100015211.hg.1
GSTM4	TC0100018261.hg.1
GSTM5	TC0100018265.hg.1
GSTP1	TC1100008144.hg.1
GSTP1P1	TC1200007815.hg.1
GSTT2	TC2200006878.hg.1, TC2200008201.hg.1
GSTZ1	TC1400007752.hg.1
MSH6	TC0200016444.hg.1, TC0200016445.hg.1
GTF2A1	TC1400009834.hg.1
GTF2A2	TC1500009621.hg.1
GTF2B	TC0100014846.hg.1
GTF2E1	TC0300008518.hg.1
GTF2E2	TC0800012404.hg.1
GTF2F1	TC1900009425.hg.1
GTF2F2	TC1300007052.hg.1
